               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.030569,           0.0085188,           0.0054735,            0.090105,             0.38889,             0.16884,            0.090499,            0.014056,            0.002438,          7.6316e-05,            0.003664,            0.003664,            0.003664
                 130,            0.026475,           0.0084697,           0.0049151,            0.095217,             0.45988,             0.13668,            0.070686,            0.015898,           0.0025093,          0.00091896,           0.0036145,           0.0036145,           0.0036145
                 131,            0.028955,           0.0081098,           0.0052086,             0.11551,             0.41975,             0.15508,            0.078891,            0.015737,           0.0020913,          0.00032338,            0.003565,            0.003565,            0.003565
                 132,            0.028931,           0.0081473,           0.0058501,             0.11711,             0.41049,             0.13815,            0.071398,            0.015182,           0.0019206,          0.00077566,           0.0035155,           0.0035155,           0.0035155
                 133,            0.029101,           0.0084129,           0.0052408,             0.10677,             0.57099,             0.15564,            0.097428,            0.015991,           0.0022762,          0.00072486,            0.003466,            0.003466,            0.003466
                 134,            0.026455,           0.0079855,           0.0047663,             0.10424,             0.44907,             0.14682,            0.064792,            0.016409,           0.0022039,          0.00062674,           0.0034165,           0.0034165,           0.0034165
                 135,            0.033265,            0.008412,           0.0055862,             0.10977,             0.41821,              0.1282,            0.063048,            0.015312,           0.0024013,          9.1478e-05,            0.003367,            0.003367,            0.003367
                 136,            0.029844,           0.0082275,            0.004616,             0.11553,             0.43286,             0.14942,            0.079768,            0.016496,           0.0024922,          0.00034634,           0.0033175,           0.0033175,           0.0033175
                 137,            0.030961,           0.0080178,           0.0047833,             0.11687,             0.39801,             0.16575,            0.078698,            0.015831,           0.0020874,           0.0002075,            0.003268,            0.003268,            0.003268
                 138,            0.029195,           0.0080713,           0.0047513,             0.10958,             0.40278,             0.14119,            0.084902,            0.014889,           0.0022035,          0.00017339,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028667,           0.0084755,           0.0044822,            0.096415,             0.38889,             0.15508,             0.10031,            0.014782,           0.0022269,          5.3833e-05,            0.003169,            0.003169,            0.003169
                 140,            0.029317,           0.0082348,            0.004948,             0.10576,             0.39352,             0.14305,            0.058395,            0.015176,           0.0021183,          0.00030477,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028472,           0.0081595,           0.0047967,             0.12689,             0.42284,             0.15371,            0.080407,            0.014666,           0.0021264,          0.00042685,             0.00307,             0.00307,             0.00307
                 142,            0.028415,            0.007747,           0.0048282,             0.23561,             0.35031,             0.15342,            0.099683,            0.016116,           0.0026417,            0.012083,           0.0030205,           0.0030205,           0.0030205
                 143,            0.027896,           0.0081924,           0.0051373,             0.12433,              0.3858,             0.14127,            0.056566,             0.01689,           0.0021099,           0.0005622,            0.002971,            0.002971,            0.002971
                 144,            0.028031,           0.0082235,           0.0048405,             0.37617,              0.2963,            0.092636,            0.050239,             0.01617,            0.003046,            0.024835,           0.0029215,           0.0029215,           0.0029215
                 145,            0.032304,           0.0083236,           0.0052091,             0.11656,             0.47377,             0.14407,            0.064067,            0.016065,           0.0021694,          0.00028474,            0.002872,            0.002872,            0.002872
                 146,            0.028586,            0.008249,           0.0046461,             0.11136,             0.43364,             0.14735,            0.068748,            0.016234,           0.0019354,          0.00021516,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028034,           0.0078713,           0.0037838,             0.12784,             0.46605,             0.14375,            0.066381,            0.015942,           0.0022595,          0.00022677,            0.002773,            0.002773,            0.002773
                 148,            0.027982,           0.0081227,           0.0053327,              0.1105,             0.40278,             0.13034,             0.08423,            0.015056,           0.0024655,           0.0093621,           0.0027235,           0.0027235,           0.0027235
                 149,            0.029632,            0.008111,           0.0052817,             0.11856,             0.45833,             0.14223,            0.083836,            0.015292,           0.0019776,          0.00032481,            0.002674,            0.002674,            0.002674
                 150,            0.029005,           0.0080362,           0.0045285,             0.10565,             0.56944,             0.13015,            0.065539,            0.014714,           0.0021101,          0.00020375,           0.0026245,           0.0026245,           0.0026245
                 151,            0.027831,           0.0079213,           0.0045853,             0.12846,             0.44444,             0.14799,            0.098954,            0.013564,           0.0021899,           0.0003439,            0.002575,            0.002575,            0.002575
                 152,            0.029908,           0.0081698,           0.0050459,             0.11187,             0.58488,             0.13962,            0.071538,            0.016046,           0.0021076,          0.00038986,           0.0025255,           0.0025255,           0.0025255
                 153,             0.02647,           0.0078964,           0.0049379,             0.11383,             0.46471,             0.14122,            0.065793,             0.01543,           0.0022773,          0.00055683,            0.002476,            0.002476,            0.002476
